month,day,year,budget,domestic,worldwide
May,22,2015,170,93.436322,207.283457
Aug,8,2003,70,116.877597,207.154748
Nov,19,1999,70,101.06834,207.06834
Aug,13,2010,60,80.57401,206.598789
Jun,22,2001,38,144.51231,206.51231
Oct,4,2002,78,92.95542,206.45542
Jun,3,2016,20,56.245075,205.445075
Jun,28,2013,150,73.103784,205.440387
Dec,20,1991,40,70.405498,205.4
Aug,14,2009,34,15.090399,205.312666
Jul,24,2009,38,88.915214,205.298907
Jan,27,2017,25,64.32189,205.272612
Dec,8,2006,85,63.28,205.190324
Dec,17,2010,80,100.246011,204.77469
Dec,25,2008,90,83.107829,203.932174
Jul,7,2004,90,51.877963,203.877963
May,25,1979,9,80.93063,203.63063
Sep,16,2016,35,24.139805,203.555567
Dec,25,2014,56.2,128.002372,203.502372
Dec,25,2014,56.2,128.002372,203.502372
Nov,11,2016,47,100.546139,203.178872
Jul,20,2007,75,118.871849,203.035572
Dec,21,2005,140,110.55,203.018919
Jun,6,2008,90,100.018837,202.910991
Mar,16,2012,42,138.447667,202.812429
Dec,14,2001,70,100.614858,202.726605
Aug,14,2015,28,161.197785,202.182981
Oct,21,2011,5,104.028807,202.053386
Mar,30,1990,13.5,135.265915,202
Dec,21,1990,26,91.457688,202
Apr,15,1983,7,90.463574,201.463574
Dec,22,1993,26,77.324422,201.324422
Aug,7,2013,90,68.559554,200.859554
Jul,4,2001,60,93.375151,200.7
Mar,2,1990,30,120.709866,200.5
Jul,1,2016,140,55.48377,199.905224
Dec,20,2002,60,93.354918,199.043309
Apr,10,1998,55,78.750909,198.750909
Apr,10,1998,55,78.750909,198.750909
Mar,4,2005,56,113.00688,198.00688
Mar,4,2005,56,113.00688,198.00688
Mar,30,2001,35,112.692062,197.692062
Mar,1,2013,195,65.187603,197.687603
Feb,10,2012,30,125.01403,197.61816
Oct,5,2005,30,56.068547,197.593152
Apr,7,2017,60,45.020282,197.268034
Sep,25,2015,40,75.764672,197.232734
Oct,28,1994,55,71.565669,196.565669
Oct,28,1994,55,71.565669,196.565669
Oct,15,2010,60,90.380162,196.439693
Feb,13,2004,75,120.776832,196.320329
Mar,29,2002,48,95.308367,196.308367
Apr,11,2003,56,135.560942,195.660942
Apr,11,2003,56,135.560942,195.660942
Jun,26,1981,28,54.8,195.3
Apr,25,2014,40,83.911193,195.111193
Nov,16,2007,150,82.280579,195.080579
Sep,25,2009,0.45,107.91881,194.183034
Mar,14,2014,66,43.568507,194.169619
Feb,5,2016,60,0.709982,194.058503
Mar,4,2016,60,62.52426,193.857962
Feb,11,2011,36,99.96767,193.737977
May,31,2002,68,118.47132,193.5
Sep,26,2014,55,101.530738,192.903624
Sep,26,2014,55,101.530738,192.903624
Sep,29,2006,85,85.105259,191.932158
May,27,2005,82,158.11946,191.558505
Nov,22,1991,30,113.502246,191.502246
Jul,31,1987,40,51.185,191.2
Aug,4,2000,90,73.20934,191.2
Aug,13,2008,90,110.515313,191.145256
Dec,25,2003,40,138.614544,190.212113
Nov,6,1998,23,161.491646,190.191646
Nov,11,1994,22,144.833357,189.8
Jun,17,2011,55,68.224452,189.624452
Jun,17,2011,55,68.224452,189.624452
Jun,19,1998,66,83.898313,189.176423
May,25,1988,58,53.715611,188.715611
May,25,1988,58,53.715611,188.715611
Apr,1,2011,63,108.085305,188.657593
Dec,25,2013,91,58.236838,188.281304
Dec,17,1993,45,100.768056,187.995859
Nov,18,2005,29,119.519402,187.707495
Jun,10,1983,27.5,67.9,187.5
Aug,28,2009,40,66.4777,187.384627
Oct,22,2004,10,110.359362,187.281115
May,15,1998,60,75.383563,186.883563
Jun,8,2001,90,84.052762,186.04902
Jan,16,2009,26,146.336178,185.90475
Jul,20,2007,85,119.72528,185.708462
Jul,13,1977,14,46.8,185.4
Dec,21,1937,1.488,184.925485,184.925485
Mar,6,2009,138,107.509799,184.068357
Jul,12,2002,80,104.054514,183.354514
Jul,18,1986,17,85.160248,183.316455
Dec,20,2002,97,77.7305,183.124621
Feb,14,1992,20,121.697323,183.097323
Feb,14,2003,80,102.543518,182.782518
Sep,27,2002,38,127.214072,182.365114
Nov,15,1991,35,79.091969,182.291969
Feb,6,2015,179,47.482519,181.982519
May,12,2006,160,60.674817,181.674817
Sep,20,1996,30,105.489203,181.489203
Jul,29,2016,20,113.257297,181.457297
Mar,26,2004,25,84.185387,181.185387
Feb,6,2009,40,93.953653,181.053657
Nov,22,2006,80,64.038616,181.038616
Oct,18,2013,20,56.671993,181.025343
Jul,23,1999,80,91.188905,180.188905
May,16,2012,65,59.650222,180.148897
Nov,23,2011,180,73.864507,180.047784
Nov,3,2006,149,64.665672,179.357126
Jul,11,2003,78,66.465204,179.265204
Apr,14,2006,40,90.71062,178.71062
Feb,7,1997,115,67.163857,178.2
Jun,5,1992,45,83.287363,178.1
Sep,26,2008,80,101.440743,178.066569
Nov,26,1997,80,92.993801,177.993801
Sep,24,1999,40,116.735231,177.835231
Aug,27,2004,17,53.65214,177.535958
Oct,20,2010,3,84.752907,177.512032
Aug,19,2005,26,109.449237,177.34423
Jun,11,2010,110,77.222099,177.241171
Dec,17,1982,15,177.2,177.2
Aug,16,2013,30,116.632095,177.025498
Dec,9,2005,13.9,83.043761,177.012173
Mar,5,1999,30,106.885658,176.885658
May,25,2017,60,58.060186,176.53357
Oct,10,2003,55,70.098138,176.469428
Oct,10,2003,55,70.098138,176.469428
May,30,2003,60,106.126012,176.262839
Nov,10,2017,70,104.029443,176.154137
Jun,22,2001,72,112.950721,176.101721
Jul,29,2011,163,100.36856,176.038324
Jun,2,1995,22,71.516617,175.516617
Nov,16,2011,20,82.624961,175.5078
Feb,8,2013,35,134.50692,175.361578
Dec,25,2007,45,93.466502,174.807445
Jul,16,1997,55,105.263257,174.463257
Jul,16,1997,55,105.263257,174.463257
Nov,2,2001,10.35,33.201661,174.201661
Jun,22,2007,175,100.28969,174.131329
Sep,23,2016,70,72.679278,174.102281
Mar,30,2012,85,64.935167,173.613482
Nov,25,2015,37,109.767581,173.567581
Jun,2,2000,33,117.559438,173.559438
Dec,20,1996,15,103.046663,173.046663
Jan,16,2004,42,88.073507,173.04441
Nov,1,2002,65,139.225854,172.825854
Aug,18,2017,30,75.468583,172.779292
Aug,13,2004,70,80.281096,172.543519
Oct,9,2009,60,109.20566,172.450423
Oct,15,2010,20,117.229692,171.685793
Feb,10,2017,40,92.029184,171.529184
Mar,18,2016,110,66.184051,171.484051
Dec,8,2006,100,57.377916,171.377916
Jan,18,2008,25,80.048433,171.302226
Aug,6,2010,100,119.219978,170.93647
Jul,8,2011,80,80.360866,170.805525
Jun,29,2012,7,113.721571,170.549753
Sep,28,2012,30,66.486205,170.466405
Oct,7,2016,45,75.395035,170.32793
Mar,5,2004,60,88.200225,170.200225
Aug,17,2007,17.5,121.463226,169.955142
Dec,21,2012,40,19.019882,169.590606
Apr,4,1997,90,61.363304,169.4
Dec,15,2000,100,89.296573,169.296573
Apr,10,2009,30,79.576189,169.173206
Dec,27,1995,29,57.141459,168.841459
Nov,26,2008,80,120.14604,168.311558
Sep,12,2008,37,60.355347,168.167798
Aug,7,2015,120,56.117548,167.977596
Mar,31,2017,110,40.563557,167.918847
Jul,25,2003,40,111.760631,167.851995
Jun,18,2004,30,114.326736,167.791704
Nov,25,1987,15,167.78096,167.78096
Nov,24,2004,155,34.297191,167.297191
Dec,4,2009,30,83.823381,166.842739
Dec,19,2008,54,69.951824,166.617328
Dec,19,2008,54,69.951824,166.617328
Jul,28,2000,84,123.307945,166.307945
Jul,19,2002,120,64.956806,166
Jul,11,1997,90,100.920329,165.9
Apr,19,2002,60,90.58,165.890634
Aug,6,2010,30,42.400223,165.889117
Nov,12,2010,95,81.562942,165.720921
Oct,18,1996,44,53.300852,165.600852
Jul,27,2012,33,35.074677,165.55229
Aug,3,2001,30,108.244774,165.334774
Dec,25,2003,80,95.632614,165.173909
Apr,22,2016,115,48.003015,165.149302
Oct,28,2011,35,37.553932,165.103952
Jul,28,1999,60,73.648228,165.048228
Jun,12,1998,80,74.339294,164.8
Mar,7,2003,20,132.675402,164.675402
Oct,21,2011,45,8.406711,164.640401
Mar,7,2014,31,59.076019,164.350409
May,9,2003,60,104.148781,164.285587
Nov,9,2007,25,74.273505,164.05125
Oct,27,2006,10,80.238724,163.876815
Dec,13,2002,55,93.932896,163.838217
Dec,13,2002,55,93.932896,163.838217
Jul,28,2006,135,63.478838,163.818556
Nov,10,1999,30,85.744662,163.644662
Dec,25,2014,65,115.637895,163.527824
Aug,9,2006,65,70.278893,163.295654
Jul,18,2003,45,28.013509,163.126676
Jul,22,2005,120,35.818913,163.018913
Aug,4,2006,73,148.213377,162.870525
Feb,14,2008,92.5,71.195053,162.839667
May,20,2011,30,56.816662,162.816399
Jun,13,2008,60,64.506874,162.778384
Apr,22,2005,90,72.708161,162.753837
Jun,15,1990,47,103.738726,162.738726
Oct,16,2015,40,72.313754,162.610473
Sep,23,2016,90,93.432655,162.526238
Sep,13,2013,5,83.586447,161.921515
Feb,4,2000,40,89.138076,161.838076
Jun,27,1973,7,35.4,161.8
Dec,9,2005,85,57.010853,161.510853
Nov,23,2011,45,88.625922,160.971922
Oct,25,2013,15,102.003019,160.903019
Aug,6,2003,26,110.222438,160.822438
Nov,26,1997,60,47.795018,160.7
Jul,20,2001,46,93.607673,160.648493
Nov,2,2012,31,93.772375,160.558438
Dec,23,1994,30,66.502573,160.502573
Jul,11,2008,82.5,75.986503,160.388063
Jan,20,2012,70,62.321039,160.37993
Jan,18,2008,30,76.808654,160.247805
Oct,21,2016,60,58.697076,160.038407
Oct,7,1983,36,55.5,160
Mar,28,2008,35,81.159365,159.846429
Dec,28,2001,95,108.638745,159.691085
Dec,25,1973,5.5,159.616327,159.616327
May,12,1995,55,91.387195,159.387195
May,12,1995,55,91.387195,159.387195
Nov,14,1997,60,54.956941,159.356941
Aug,7,1992,14.4,101.157447,159.157447
Feb,27,2015,65,53.862963,159.062963
Aug,26,2016,10,89.217875,159.047649
Feb,10,2006,80,82.226474,158.926474
Dec,6,1996,80,32.90829,158.90829
Oct,16,2015,58,80.069458,158.905324
Jan,15,2010,80,94.835059,158.750817
Feb,7,2014,70,78.03162,158.702748
Nov,4,2016,40,67.209615,158.701644
Apr,1,2005,40,74.10382,158.527918
May,22,1992,55,54.927174,158.5
May,22,1992,55,54.927174,158.5
Nov,18,2011,135,64.006466,157.956466
Jun,16,2006,85,62.61551,157.794205
Jun,27,1990,60,82.670733,157.670733
Jul,25,2003,90,65.653758,157.092943
Feb,17,2012,65,54.760791,156.974557
Jun,19,1981,54,156.890462,156.890462
Jun,19,1981,54,156.890462,156.890462
Jan,22,2016,36,2.679437,156.835197
Oct,8,2003,30,90.135191,156.82202
Dec,25,2011,70,79.883359,156.815529
Nov,14,2014,40,86.20801,156.553592
Dec,20,2006,24,70.269899,156.22905
Jul,14,1989,42,34.667015,156.167015
May,13,2005,45,82.931301,155.931301
Dec,21,2007,30,53.695808,155.769678
Nov,26,2003,90,75.817994,155.750628
Dec,15,2006,75,103.365956,155.708695
Mar,18,2011,27,79.249455,155.564919
Oct,24,2003,45,110.000082,155.2
Oct,1,1993,14,68.856263,155.056263
Aug,12,2011,40,42.587643,155.011165
Mar,22,2002,54,81.676888,154.338601
Mar,22,2002,54,81.676888,154.338601
Oct,3,2008,20,94.514402,154.218168
Dec,22,2004,55,51.225796,153.878531
Dec,22,2004,55,51.225796,153.878531
Jan,17,2014,25,134.202565,153.7338
Jul,16,1993,20,77.698625,153.698625
Apr,16,2004,55,66.20792,153.535982
Apr,16,2004,55,66.20792,153.535982
Oct,14,2016,40,86.260045,153.060045
Oct,17,1997,57,61.007424,153.007424
Oct,17,1997,57,61.007424,153.007424
Oct,28,2005,5,87.025093,152.925093
May,24,1985,30,50.32796,152.62796
Sep,17,2010,37,92.186262,152.566881
Dec,15,2000,25,71.30976,152.500343
Oct,2,1998,60,90.757863,152.457863
Jun,12,2009,110,65.452312,152.36437
Apr,9,2010,55,98.711404,152.269033
Apr,9,2010,55,98.711404,152.269033
Jul,24,1996,40,108.766007,152.266007
Jul,5,1996,32,104.636382,152.036382
Dec,25,1996,55,50.047179,151.947179
Dec,25,1996,55,50.047179,151.947179
Dec,25,2013,175,38.362475,151.716815
Jun,3,1988,18,114.968774,151.668774
Oct,9,2015,150,35.08832,151.550856
Feb,17,2012,23,19.19251,151.496097
Nov,5,1999,48,66.48809,151.46309
Feb,22,2008,40,72.266306,150.886329
Mar,22,2013,70,98.927592,150.562164
Nov,11,2011,79,74.158157,150.519217
Jun,13,1997,110,48.097081,150.468
Nov,4,2011,85,78.04657,150.422946
Oct,29,1999,20,2.374107,150.35
Nov,22,1996,46,92.027888,150
Dec,25,2013,40,125.095601,149.804632
Nov,23,2011,85,46.462469,149.717124
Jun,18,1999,60,102.705852,149.705852
Jan,21,2011,25,70.66222,149.228078
Feb,17,2012,57,51.774002,149.217355
Feb,17,2012,57,51.774002,149.217355
Jul,31,1992,55,58.42265,149.02265
Jul,31,1992,55,58.42265,149.02265
Jul,22,2016,5,67.268835,148.868835
Jul,25,2003,86,120.277854,148.715342
Feb,14,2008,17.5,58.017783,148.58691
Feb,9,1996,65,70.645997,148.345997
Jun,8,1984,11,148.168459,148.199515
Jan,18,2013,15,71.62818,148.095566
Jun,16,2006,60,28.426747,147.985373
Nov,1,1996,14.5,46.338728,147.542381
Nov,25,2016,12,51.739495,147.539495
Jun,8,2001,80,69.772969,147.080413
Dec,9,2011,26,54.544638,146.850273
Jul,22,2011,35,55.802754,146.595891
Sep,28,2007,22,90.648202,146.590987
Feb,14,2007,40,50.572589,146.196885
Sep,21,2007,45,50.648679,146.16292
Mar,30,2007,61,118.594548,145.594548
Dec,25,2015,62,54.117416,145.44336
Jun,8,2007,100,58.867694,145.395745
Mar,2,2001,40,66.808615,145.23825
Sep,9,2005,18,75.072454,144.529078
Dec,15,2006,82.5,82.985708,143.985708
Nov,21,2001,90,62.36256,143.04956
Aug,8,1997,80,76.11899,142.783718
Feb,12,2010,150,62.189884,142.634358
Mar,24,2017,120,85.36445,142.36445
Nov,19,2004,30,85.416609,142.051255
Feb,5,2010,25,80.014842,142.033509
Jul,13,2001,18,96.493426,141.809235
Jul,28,1978,3,141.6,141.6
Nov,21,2003,40,59.588068,141.484812
Oct,28,2005,80,45.575336,141.475336
Aug,12,2016,19,97.670358,141.354394
Jul,21,2006,75,73.66101,141.26737
Apr,7,1995,23,65.647413,141.247413
Dec,19,2003,65,63.8031,141.205169
Dec,29,1965,9,63.6,141.2
Jul,4,2001,45,71.27742,141.189101
Jul,17,2015,35,110.2127,141.123897
Mar,26,1997,90,42.885593,140.9
Nov,20,1998,28,100.494685,140.894685
Jul,21,2017,28,115.108515,140.798808
Oct,13,2017,35,34.393507,140.788326
Oct,19,2012,5,53.900335,140.61952
Apr,1,2011,32,54.712227,140.428499
Feb,14,2003,20,47.901582,140.122225
May,12,2017,175,39.175066,140.012608
Aug,11,1973,0.777,115,140
Oct,21,2011,90,20.377913,139.877913
Dec,19,2014,65,85.911262,139.840525
Sep,24,2010,100,55.675313,139.716717
Dec,17,1974,14,116,139.7
Apr,17,2009,40,64.167069,139.474906
Jul,15,1988,28,81.350242,139.109346
Dec,7,1979,35,82.258456,139
Jul,10,2009,42,60.05453,138.708527
Feb,16,2007,25,82.234139,137.984788
Dec,19,1986,6,137.963328,137.963328
Aug,12,2016,65,76.233151,137.768975
Sep,9,2011,60,75.658097,137.551594
Jun,22,2012,67.5,37.519139,137.48973
Sep,24,2010,70,52.474616,137.431619
Jun,18,1993,85,50.016394,137.298489
Jul,19,2013,84,53.26256,137.16256
Jan,27,2006,40,70.165972,137.047376
Aug,10,2007,70,38.634938,137.022245
Apr,11,1997,45,65.598907,136.998907
Aug,13,2014,17,82.390774,136.890774
Sep,29,2000,30,115.654751,136.706683
Apr,27,2012,55,31.051126,136.143605
Apr,27,2012,55,31.051126,136.143605
Feb,18,2011,40,63.686397,136.123083
Apr,3,1998,80,69.117629,136.047317
Mar,19,2010,45,67.061228,135.808837
Oct,26,2007,10,63.300095,135.759694
Dec,21,2005,60,82.571173,135.01533
Dec,11,1995,16.5,42.993774,134.993774
May,4,2012,10,46.383639,134.63978
Jul,21,2000,30,43.746923,133.946923
Nov,21,2003,109,101.018283,133.818283
Oct,29,2010,17,45.710178,133.735284
Dec,27,2006,63.7,2.223293,133.603463
Feb,26,2016,140,31.153464,133.553464
Jun,24,2005,3.4,77.437223,133.276359
Dec,11,2015,28,70.25987,133.162752
Aug,8,2012,30,63.536011,133.085295
Nov,26,1986,24,109.713132,133
Jul,4,2008,113.5,0.999811,132.999811
Aug,2,2013,61,75.61246,132.493015
Jul,1,1992,40,107.533925,132.440066
Oct,27,2006,20,34.302837,132.121212
Oct,3,2003,20,81.261177,131.945113
Nov,10,2017,12,52.644562,131.537876
Dec,23,2005,75,47.37909,131.492772
Oct,8,1997,70,37.945884,131.445884
Jan,17,2014,60,50.577412,131.377412
Dec,8,2004,65,52.397389,131.353165
Jun,22,2007,22.5,71.985628,131.26337
Aug,21,1998,45,70.141876,131.237688
Oct,23,2015,80,27.36766,131.234406
Oct,16,2009,53,73.357727,131.159781
Oct,16,2009,53,73.357727,131.159781
Jun,24,2005,80,63.313159,131.159306
Jul,1,1992,42,70.052444,131.052444
Jun,17,1994,70,65.011757,131.011757
Apr,23,2004,60,77.906816,130.968579
Apr,30,2004,18,86.047227,130.953026
May,17,2002,27,40.803,130.759651
Oct,26,2012,102,27.108272,130.673154
Dec,20,2013,80,36.076121,130.58073
Jul,14,2006,54,75.80201,130.40201
Jul,14,2006,54,75.80201,130.40201
Nov,22,1996,60,60.592389,129.832389
Dec,7,2007,30,50.980159,129.779728
Dec,10,2010,11,93.617009,129.262388
Apr,18,2008,55,52.07527,129.07527
Apr,18,2008,55,52.07527,129.07527
Feb,3,2012,15,54.33329,128.955898
Sep,30,2006,15,56.441711,128.885873
Dec,25,2007,40,41.797066,128.884494
Aug,4,2000,65,90.454043,128.874043
Dec,24,1999,40,81.292135,128.792135
Jan,27,2006,25,47.279279,128.745578
Jul,25,2008,65,100.468793,128.468793
Nov,25,2011,16,44.667095,128.256712
Dec,1,2017,19.5,59.213138,128.185498
Dec,25,2015,100,28.782481,128.131571
May,23,2014,45,46.290741,127.990741
Nov,1,2013,110,61.737191,127.983283
Dec,8,1982,22,52.767889,127.767889
Nov,1,2017,28,72.110659,127.710659
Apr,21,2000,62,77.08603,127.63003
Jul,7,1995,75,37.361412,127.361412
Jul,9,2010,40,52.000688,127.234389
Aug,7,2009,40,94.125426,126.646119
Nov,11,2005,28,38.372662,126.549607
Jun,12,2013,32,101.470202,126.539117
Aug,1,2003,55,104.354205,126.425115
Aug,1,2003,55,104.354205,126.425115
Sep,19,1997,35,64.604977,126.204977
Jul,18,2014,40,38.543473,126.069509
Feb,6,2009,60,75.286229,126.037057
Jul,2,2003,25,90.639088,125.339088
Oct,17,1997,17,72.250091,125.250091
Oct,22,1982,14,47.212904,125.212904
Oct,13,2017,5,55.683845,124.967272
Dec,22,1964,3,51.1,124.9
Jan,15,2016,40,90.862685,124.827316
Oct,29,2004,40,75.305995,124.823094
Dec,22,2000,60,75.764085,124.715863
Dec,11,2009,60,37.491364,124.514011
Aug,6,1999,48,69.304264,124.304264
Dec,10,2003,70,66.432867,123.954323
Dec,23,1987,13,123.92237,123.92237
Jul,1,2015,14.5,66.013057,123.70946
Jan,28,2005,25,51.100486,123.696741
Feb,3,2012,12,64.575175,123.68179
Nov,7,2014,15,35.893537,123.327692
Jun,2,2017,38,73.921,123.261024
Sep,30,2016,156,61.433527,122.931214
Sep,22,2017,70,59.281555,122.780244
Jan,17,2014,30,64.251538,122.529966
Sep,4,2015,65,0.07407,122.519874
Jan,16,2009,35,73.178547,122.357172
Jan,12,2001,13,91.038276,122.244329
Aug,18,1995,20,70.433227,122.133227
Mar,15,1996,55,56.679192,122.079192
Mar,15,1996,55,56.679192,122.079192
Aug,11,2004,45,95.149435,122.071435
Jun,4,1982,10.7,74.706019,121.706019
Apr,8,2005,145,68.671925,121.671925
Oct,10,2003,60,35.327628,121.327628
Nov,7,1997,100,54.768952,121.1
Dec,8,2006,40,50.866635,121.032272
May,18,2012,37.5,41.152203,120.925697
Dec,25,2012,25,77.267296,120.832383
Jun,5,2015,10,52.218558,120.678444
Feb,17,2006,40,81.612565,120.455994
Mar,6,1987,15,65.19235,120.19235
Apr,25,1997,90,47.546796,120.1
Nov,18,1994,38,75.671262,120
Aug,29,2003,25,35.623801,119.923801
May,19,2000,16,68.525609,119.73911
Aug,7,2002,38,85.846296,119.721296
Sep,25,2009,80,38.577772,119.66835
Nov,20,2009,40,0.627047,119.627047
Dec,21,2007,75,66.661095,119.512771
Feb,7,1974,2.6,119.5,119.5
Jun,6,2006,25,54.607383,119.295584
Jun,24,2016,13,55.121623,118.888025
Jul,1,2016,10,79.04244,118.557124
Oct,10,2008,67.5,39.394666,118.55653
Apr,13,2007,20,80.818974,118.537627
Oct,24,2008,10.8,56.746769,118.209778
Oct,15,2004,40,57.887882,118.097882
Dec,11,1998,70,70.187658,117.8
Apr,30,2010,35,63.075011,117.729621
Jul,20,1994,45,92.115211,117.615211
Dec,23,2016,38,60.323786,117.523786
Sep,17,1999,36,68.20819,117.448157
Sep,12,2003,4,44.585453,117.085297
Jan,18,2002,32,81.150692,116.898028
Apr,22,2011,38,58.709717,116.809717
Apr,22,2009,47,32.011576,116.773317
Nov,6,1998,70,40.934175,116.625798
Dec,3,2004,35,33.987757,116.177695
Sep,28,2012,17,65.001093,116.044347
Jun,25,2004,30,81.001787,116.025023
Dec,17,1971,7.2,43.8,116
Jan,13,2012,14,29.959436,115.592104
Jan,9,2009,30,58.71551,115.150424
Feb,1,2013,30,66.380662,115.121608
Nov,12,2004,25,51.676606,115.036108
Oct,20,1995,30.25,72.021008,115.021008
Dec,13,2013,35,83.299761,114.962525
Jun,16,2006,40,52.330111,114.830111
Sep,23,2005,30,53.359111,114.770654
Mar,1,2002,70,78.120196,114.658262
Aug,15,2003,25,82.622655,114.576403
Aug,4,2000,45,60.786269,113.916474
Oct,24,2008,55,35.739802,113.80558
Oct,24,2008,55,35.739802,113.80558
May,24,2002,46,67.263182,113.622499
Jul,13,2001,68,71.069884,113.542091
Jun,30,1995,85,34.687912,113.487912
Jan,20,2006,45,62.318875,113.417762
Sep,20,2013,46,61.002302,113.402302
Apr,20,2012,12,91.547205,113.373764
Jul,7,1995,35,60.054449,113.354449
Jan,12,2007,80,15.132763,113.325743
Jul,30,2010,85,43.585753,113.026383
Aug,4,2017,60,50.701325,113.018076
Dec,10,2008,32.5,34.194407,112.964875
Jan,28,2013,28,63.914167,112.914167
Feb,10,2006,25,54.098051,112.798051
Jan,22,2010,48,60.022256,112.610386
Jan,25,2008,47.5,42.754105,112.214531
Mar,17,2000,23,53.302314,112.03687
Nov,4,1994,45,22.006296,112.006296
Sep,26,2014,60,50.837305,111.946251
Dec,22,1965,11,111.721,111.859493
Dec,27,2002,35,32.519322,111.854182
Jun,13,1967,9.5,43.1,111.6
Jul,18,2014,9,71.56255,111.534881
Jun,23,2004,20,69.148997,111.448997
Jan,22,2016,38,34.912982,111.336398
Feb,6,2015,95,17.725785,111.125785
Aug,11,2006,12,65.328121,110.989157
Jul,28,1995,22,50.621733,110.521733
Nov,1,2013,55,55.75048,110.387072
Nov,1,2013,55,55.75048,110.387072
Feb,15,2002,20,48.430258,109.862682
Aug,5,2005,53,80.270227,109.848461
Aug,5,2005,53,80.270227,109.848461
Jan,13,2006,17.5,51.386611,109.84339
Oct,22,2004,17,71.502303,109.793192
Mar,19,1982,4,109.492484,109.492484
May,29,2009,13,12.749992,109.421911
Feb,8,2008,72.5,70.231041,109.362966
Oct,13,2000,5,21.995263,109.267134
Apr,15,2005,18.5,65.233369,109.175673
Nov,20,2009,60,42.19406,108.996113
Nov,19,1975,4.4,108.981275,108.981275
May,20,2016,35,55.34073,108.758521
Feb,21,2014,80,23.169033,108.469033
Mar,11,2016,5,72.082999,108.286422
Aug,17,2012,60,56.003051,108.119662
Mar,5,2004,78,67.286731,108.086731
Oct,17,2003,9,80.571655,107.967319
Nov,17,1995,62,60.022813,107.822813
Oct,1,1999,48,60.652036,107.752036
Apr,17,2015,38,71.091594,107.650646
Feb,4,1994,12,72.217396,107.217396
Jun,11,2004,120,57.712751,107.212751
Jun,16,2000,53.012938,70.327868,107.190108
Jun,16,2000,53.012938,70.327868,107.190108
Dec,13,2002,30,65.005217,107.054484
Dec,13,1989,7.5,106.593296,106.593296
May,2,2008,40,46.012734,106.548738
May,24,2002,80,73.21531,106.51531
Mar,27,2015,40,90.411453,106.511453
Dec,29,1995,31,82.582604,106.282604
Dec,18,2015,30,87.044645,106.03066
Mar,10,2000,90,60.874615,106
Nov,26,2014,40,54.445357,105.945357
Oct,8,2010,38,53.374681,105.887837
Aug,14,2015,75,45.445109,105.445109
Aug,26,2005,80,37.899638,105.299638
Jan,22,2016,11.5,35.593113,105.24141
Apr,18,2008,30,63.172463,105.173042
Apr,6,2001,28,74.058698,105.159085
Jun,3,2005,88,61.649911,105.021488
Mar,6,2015,49,31.569268,105.002056
Aug,10,2012,95,86.907746,104.907746
Oct,5,2001,45,76.261036,104.505362
Aug,15,2008,16,23.216709,104.504817
Sep,27,2002,60,50.586,104.429625
Oct,20,2006,40,53.089891,104.407366
May,31,1996,57,51.36468,104.36468
May,31,1996,57,51.36468,104.36468
Jul,14,1995,60,50.024083,104.324083
Feb,4,2011,30,23.20931,104.283753
Jul,16,1999,65,55.691208,104.267443
Jan,11,2013,60,46.000903,104.100903
Aug,7,1998,73,55.591409,103.891409
Oct,29,2004,1.2,55.968727,103.880027
Mar,15,2002,35,40.119709,103.787401
Oct,18,2013,70,25.135965,103.735965
Oct,24,2014,5,50.85601,103.683342
Feb,12,2016,77.5,1.311213,103.529508
Mar,19,2004,28,58.990765,103.452875
Dec,25,2007,40,40.412817,103.429755
Nov,17,2000,30,76.501438,103.284813
Oct,17,2014,18,42.340598,103.215094
Apr,18,2014,100,23.022309,103.039258
Mar,2,2012,12,54.731865,103.028188
Dec,21,2001,25,80.936232,102.992536
Jul,26,2013,18,33.404871,102.912961
Jan,16,2009,14,51.545952,102.836002
Jun,14,1996,47,60.240295,102.825796
Apr,29,2005,45,51.019112,102.746214
Nov,24,2010,30,32.367005,102.716321
Oct,27,2017,10,38.052832,102.63033
Aug,6,2008,26,87.34138,102.404019
Oct,1,2004,60,74.541707,102.332848
Aug,14,2009,39,63.414846,102.332135
Oct,24,1969,6,102.3089,102.3089
Aug,26,1964,6,102.3,102.3
Oct,2,2009,23.6,75.590286,102.236596
Feb,15,2002,36,71.026631,102.226631
Mar,25,2005,35,68.915888,102.115888
Sep,16,1994,28,44.853581,102.053581
Apr,8,2005,20,17.104669,102.034104
Aug,5,2015,25,19.375982,101.937062
Apr,4,2008,37,48.006762,101.857425
Jan,6,2012,1,53.262945,101.75949
Jul,14,2006,64,58.636047,101.636047
Jan,10,2003,19,56.127162,101.564935
Mar,24,2005,60,48.478006,101.382396
Oct,10,2014,28,66.954149,101.379287
Dec,13,1996,80,37.771017,101.371017
Dec,12,1997,24,101.363301,101.363301
May,6,2005,7.303082,55.334418,101.173038
Mar,18,2011,40,37.412945,101.162106
Dec,25,2015,60,56.451232,101.134059
Mar,24,2017,58,30.234022,101.00331
Mar,24,2017,58,30.234022,101.00331
Apr,16,2014,12,91.386097,100.919111
Oct,15,1999,65,37.030102,100.851705
Jul,12,1996,46,59.003384,100.833145
Sep,16,2005,58,48.31813,100.687083
Sep,16,2005,58,48.31813,100.687083
Jul,29,2015,31,58.884188,100.655892
Mar,1,1996,60,51.045801,100.645801
